County,County_code,Year,Zip,num_tests,under_5_mcg_dL,5_10_mcg_dL,10_15_mcg_dL,over_15_mcg_dL,total_elevated,percent_elevated,rate_per_1000,zip_location,county_location
Warren,113,2002,12843,16,NA,NA,0,0,0,0,0,"(43.59355, -73.974572)","(43.555105, -73.838139)"
Jefferson,45,2006,13665,6,NA,NA,NA,NA,NA,NA,NA,"(44.099422, -75.476914)","(44.0607, -75.9928)"
Jefferson,45,2019,13616,33,32,0,NA,NA,NA,NA,NA,"(44.02437, -75.858123)","(44.0607, -75.9928)"
Clinton,19,2000,12992,47,NA,NA,NA,NA,NA,NA,NA,"(44.78096, -73.505322)","(44.75271, -73.705648)"
St. Lawrence,89,2015,13676,89,NA,NA,NA,NA,NA,NA,NA,"(44.65482, -74.95554)","(44.488113, -75.074311)"
Lewis,49,2007,13489,7,NA,NA,0,0,0,0,0,"(43.473901, -75.53277)","(43.786397, -75.442617)"
Lewis,49,2007,13368,13,NA,NA,NA,NA,NA,NA,NA,"(43.63092, -75.34848)","(43.786397, -75.442617)"
Clinton,19,2006,12934,9,NA,NA,0,0,0,0,0,"(44.829883, -73.859154)","(44.75271, -73.705648)"
Essex,31,2012,12913,8,8,0,0,0,0,0,0,"(44.398502, -74.070744)","(44.108971, -73.777573)"
Franklin,33,2012,12966,8,NA,NA,0,0,0,0,0,"(44.81898, -74.415)","(44.594374, -74.31067)"
Herkimer,43,2009,13416,27,NA,NA,0,0,0,0,0,"(43.189629, -75.018362)","(43.1631, -74.8741)"
Warren,113,2001,12804,161,141,20,0,0,0,0,0,"(43.37136, -73.6761)","(43.555105, -73.838139)"
Jefferson,45,2010,13679,24,NA,NA,0,0,0,0,0,"(44.304223, -75.80961)","(44.0607, -75.9928)"
Lewis,49,2014,13620,14,14,0,0,0,0,0,0,"(43.888863, -75.459474)","(43.786397, -75.442617)"
Warren,113,2006,12885,48,39,9,0,0,0,0,0,"(43.500656, -73.787701)","(43.555105, -73.838139)"
Franklin,33,2003,12920,17,NA,NA,0,0,0,0,0,"(44.92315, -74.082893)","(44.594374, -74.31067)"
Essex,31,2006,12944,25,NA,NA,0,0,0,0,0,"(44.493052, -73.480994)","(44.108971, -73.777573)"
Clinton,19,2006,12972,66,NA,NA,0,0,0,0,0,"(44.57022, -73.54716)","(44.75271, -73.705648)"
Essex,31,2011,12983,19,NA,NA,0,0,0,0,0,"(44.31672, -74.13354)","(44.108971, -73.777573)"
Lewis,49,2012,13368,13,NA,NA,0,0,0,0,0,"(43.63092, -75.34848)","(43.786397, -75.442617)"
Clinton,19,2000,12978,6,6,0,0,0,0,0,0,"(44.609012, -73.805908)","(44.75271, -73.705648)"
St. Lawrence,89,2017,13617,65,64,0,NA,NA,NA,NA,NA,"(44.58378, -75.14382)","(44.488113, -75.074311)"
Essex,31,2012,12870,9,9,0,0,0,0,0,0,"(43.8396, -73.76022)","(44.108971, -73.777573)"
Jefferson,45,2016,13673,31,NA,NA,0,0,0,0,0,"(44.157023, -75.711455)","(44.0607, -75.9928)"
St. Lawrence,89,2002,13613,12,NA,NA,0,0,0,0,0,"(44.860326, -74.725235)","(44.488113, -75.074311)"
St. Lawrence,89,2014,13642,158,145,9,NA,NA,NA,NA,NA,"(44.30244, -75.41568)","(44.488113, -75.074311)"
Lewis,49,2003,13367,32,21,11,0,0,0,0,0,"(43.7871, -75.47691)","(43.786397, -75.442617)"
Lewis,49,2019,13309,13,NA,NA,0,0,0,0,0,"(43.45308, -75.336)","(43.786397, -75.442617)"
Warren,113,2003,12885,40,29,10,NA,NA,NA,NA,NA,"(43.500656, -73.787701)","(43.555105, -73.838139)"
Herkimer,43,2011,13350,79,67,10,NA,NA,NA,NA,NA,"(43.030105, -74.984973)","(43.1631, -74.8741)"
Jefferson,45,2009,13679,16,16,0,0,0,0,0,0,"(44.304223, -75.80961)","(44.0607, -75.9928)"
Jefferson,45,2012,13637,127,NA,NA,0,0,0,0,0,"(44.090947, -75.804665)","(44.0607, -75.9928)"
Warren,113,2012,12804,54,NA,NA,0,0,0,0,0,"(43.37136, -73.6761)","(43.555105, -73.838139)"
St. Lawrence,89,2010,13672,6,6,0,0,0,0,0,0,"(44.601041, -74.809679)","(44.488113, -75.074311)"
Clinton,19,2009,12912,9,NA,NA,0,0,0,0,0,"(44.459424, -73.713927)","(44.75271, -73.705648)"
St. Lawrence,89,2015,13648,11,NA,NA,0,0,0,0,0,"(44.20218, -75.29706)","(44.488113, -75.074311)"
Warren,113,2001,12801,103,76,26,NA,NA,NA,NA,NA,"(43.3089, -73.6446)","(43.555105, -73.838139)"
St. Lawrence,89,2019,13642,77,NA,NA,0,0,0,0,0,"(44.30244, -75.41568)","(44.488113, -75.074311)"
Jefferson,45,2015,13618,10,NA,NA,0,0,0,0,0,"(44.130167, -76.32961)","(44.0607, -75.9928)"
Essex,31,2000,12932,15,NA,NA,0,0,0,0,0,"(44.226627, -73.624732)","(44.108971, -73.777573)"
Jefferson,45,2002,13612,19,NA,NA,0,0,0,0,0,"(44.00621, -75.796688)","(44.0607, -75.9928)"
Franklin,33,2001,12916,10,NA,NA,0,0,0,0,0,"(44.827852, -74.530013)","(44.594374, -74.31067)"
Franklin,33,2012,13655,36,36,0,0,0,0,0,0,"(44.982946, -74.655861)","(44.594374, -74.31067)"
Clinton,19,2004,12901,310,288,17,NA,NA,NA,NA,NA,"(44.72796, -73.4631)","(44.75271, -73.705648)"
Lewis,49,2020,13648,7,7,0,0,0,0,0,0,"(44.20218, -75.29706)","(43.786397, -75.442617)"
Lewis,49,2012,13325,13,NA,NA,NA,NA,NA,NA,NA,"(43.577189, -75.564678)","(43.786397, -75.442617)"
Herkimer,43,2002,13329,18,8,8,NA,NA,NA,NA,NA,"(43.1037, -74.74098)","(43.1631, -74.8741)"
Franklin,33,2018,12953,131,NA,NA,NA,NA,NA,NA,NA,"(44.845371, -74.269912)","(44.594374, -74.31067)"
St. Lawrence,89,2015,13662,191,180,10,NA,NA,NA,NA,NA,"(44.91816, -74.93598)","(44.488113, -75.074311)"
St. Lawrence,89,2018,13662,125,NA,NA,NA,NA,NA,NA,NA,"(44.91816, -74.93598)","(44.488113, -75.074311)"
Jefferson,45,2010,13603,469,NA,NA,0,0,0,0,0,"(44.04216, -75.79152)","(44.0607, -75.9928)"
Clinton,19,2005,12910,18,18,0,0,0,0,0,0,"(44.882237, -73.662504)","(44.75271, -73.705648)"
Herkimer,43,2005,13454,6,NA,NA,0,0,0,0,0,"(43.231609, -74.791568)","(43.1631, -74.8741)"
St. Lawrence,89,2011,13668,28,NA,NA,NA,NA,NA,NA,NA,"(44.76282, -74.99124)","(44.488113, -75.074311)"
Lewis,49,2020,13367,82,74,7,NA,NA,NA,NA,NA,"(43.7871, -75.47691)","(43.786397, -75.442617)"
Lewis,49,2014,13309,16,NA,NA,0,0,0,0,0,"(43.45308, -75.336)","(43.786397, -75.442617)"
Jefferson,45,2010,13634,37,NA,NA,0,0,0,0,0,"(44.00616, -76.07107)","(44.0607, -75.9928)"
Jefferson,45,2015,13606,31,NA,NA,NA,NA,NA,NA,NA,"(43.858497, -76.009224)","(44.0607, -75.9928)"
St. Lawrence,89,2004,13646,12,NA,NA,0,0,0,0,0,"(44.4501, -75.6864)","(44.488113, -75.074311)"
Lewis,49,2019,13620,29,NA,NA,NA,NA,NA,NA,NA,"(43.888863, -75.459474)","(43.786397, -75.442617)"
Lewis,49,2009,13620,23,NA,NA,0,0,0,0,0,"(43.888863, -75.459474)","(43.786397, -75.442617)"
